job_title,location,income,skill,データベース,AWS,機械学習,Webフレームワーク,データ分析,min_income,max_income,avg_income
開発エンジニア,神奈川県,550万円〜,"JavaScript, VBA, Java, Python, AWS, MySQL, GCP",1,1,0,0,0,,,
開発エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 岐阜県",476万円〜691万円,"C#, C, Objective-C, JavaScript, Java, Python, Node.js, Android",0,0,0,0,0,476.0,691.0,583.5
サーバーエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, フルリモート",600万円〜1200万円,"C#, C, JavaScript, SQL, Java, Python, Swift, React, TypeScript, iOS, AWS, MySQL, Kotlin, Azure, Spring, GCP, Redux, Flutter, SAP",1,1,0,0,0,600.0,1200.0,900.0
その他エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 北海道, 青森県, 岩手県, 宮城県, 秋田県, 山形県, 福島県, 茨城県, 栃木県, 群馬県, 新潟県, 富山県, 石川県, 福井県, 山梨県, 長野県, 岐阜県, 静岡県, 三重県, 滋賀県, 奈良県, 和歌山県, 鳥取県, 島根県, 岡山県, 広島県, 山口県, 徳島県, 香川県, 愛媛県, 高知県, 福岡県, 佐賀県, 長崎県, 熊本県, 大分県, 宮崎県, 鹿児島県, 沖縄県, フルリモート",530万円〜1000万円,"JavaScript, SQL, PHP, Ruby, Java, Python, Swift, Ruby on Rails, React, TypeScript, iOS, Android, AWS, Docker, MySQL, Laravel, Golang, Vue.js, PostgreSQL, Kotlin, Azure, Kubernetes, Jenkins, Elasticsearch, Oracle, MongoDB, Spring, GCP",1,1,0,0,0,530.0,1000.0,765.0
Webエンジニア,"東京都, 神奈川県, 大阪府, 兵庫県, 京都府, 愛知県, 福岡県",450万円〜750万円,"C#, JavaScript, Java, Python, React, TypeScript, AWS, Docker, IoT, Azure, Kubernetes, Firebase, Spring, React Native, Flutter",0,1,0,0,0,450.0,750.0,600.0
バックエンドエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 北海道, 青森県, 岩手県, 宮城県, 秋田県, 山形県, 福島県, 茨城県, 栃木県, 群馬県, 新潟県, 富山県, 石川県, 福井県, 山梨県, 長野県, 岐阜県, 静岡県, 三重県, 滋賀県, 奈良県, 和歌山県, 鳥取県, 島根県, 岡山県, 広島県, 山口県, 徳島県, 香川県, 愛媛県, 高知県, 福岡県, 佐賀県, 熊本県, 大分県, 宮崎県, 鹿児島県, 沖縄県, フルリモート",500万円〜800万円,"PHP, Ruby, Java, Python, Go, AWS, Docker, MySQL, Kotlin, Spring, GCP",1,1,0,0,0,500.0,800.0,650.0
バックエンドエンジニア,東京都,500万円〜800万円,"SQL, Python, Go, Dart, React, TypeScript, Docker, Firebase, GCP, Flutter",1,0,0,0,0,500.0,800.0,650.0
開発エンジニア,"東京都, 神奈川県",450万円〜600万円,"C#, C, C++, JavaScript, VBA, PHP, Ruby, Java, Python, AWS, Azure",0,1,0,0,0,450.0,600.0,525.0
フロントエンドエンジニア,東京都,480万円〜720万円,"JavaScript, Python, Go, jQuery, React, AWS, Vue.js, Angular, GCP",0,1,0,0,0,480.0,720.0,600.0
バックエンドエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 北海道, 青森県, 岩手県, 宮城県, 秋田県, 山形県, 福島県, 茨城県, 栃木県, 群馬県, 新潟県, 富山県, 石川県, 福井県, 山梨県, 長野県, 岐阜県, 静岡県, 三重県, 滋賀県, 奈良県, 和歌山県, 鳥取県, 島根県, 岡山県, 広島県, 山口県, 徳島県, 香川県, 愛媛県, 高知県, 福岡県, 佐賀県, 長崎県, 熊本県, 大分県, 宮崎県, 鹿児島県, 沖縄県, フルリモート",400万円〜900万円,"C#, PHP, Java, Python, Swift, React, TypeScript, Android, AWS, Kotlin, Flutter",0,1,0,0,0,400.0,900.0,650.0
その他エンジニア,東京都,500万円〜600万円,"Python, MySQL, Jenkins, SQLServer",1,0,0,0,0,500.0,600.0,550.0
PM,東京都,600万円〜960万円,"Java, Python, React, TypeScript, AWS, Vue.js, Spring, Rust",0,1,0,0,0,600.0,960.0,780.0
PM,東京都,600万円〜960万円,"Java, Python, React, TypeScript, AWS, Vue.js, Spring, Rust",0,1,0,0,0,600.0,960.0,780.0
その他エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 北海道, 青森県, 岩手県, 宮城県, 秋田県, 山形県, 福島県, 茨城県, 栃木県, 群馬県, 新潟県, 富山県, 石川県, 福井県, 山梨県, 長野県, 岐阜県, 静岡県, 三重県, 滋賀県, 奈良県, 和歌山県, 鳥取県, 島根県, 岡山県, 広島県, 山口県, 徳島県, 香川県, 愛媛県, 高知県, 福岡県, 佐賀県, 長崎県, 熊本県, 大分県, 宮崎県, 鹿児島県, 沖縄県, フルリモート",780万円〜1180万円,"Python, Django, React, AWS, Docker, Fargate",0,1,0,1,0,780.0,1180.0,980.0
その他エンジニア,"フルリモート, 海外",600万円〜1000万円,"SQL, Ruby, Python, Go, Node.js, React, TypeScript, AWS, Vue.js, Azure, GCP",1,1,0,0,0,600.0,1000.0,800.0
システムエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県",450万円〜840万円,"JavaScript, PHP, Java, COBOL, Python, Swift, Go, jQuery, React, TypeScript, AWS, Docker, MySQL, Vue.js, PostgreSQL, Kotlin, Spring, Angular, Salesforce, SAP",1,1,0,0,0,450.0,840.0,645.0
開発エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県",448万円〜650万円,"C, C++, Java, Python",0,0,0,0,0,448.0,650.0,549.0
その他エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県",322万円〜560万円,"C, C++, Python",0,0,0,0,0,322.0,560.0,441.0
SRE,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 北海道, 青森県, 岩手県, 宮城県, 秋田県, 山形県, 福島県, 茨城県, 栃木県, 群馬県, 新潟県, 富山県, 石川県, 福井県, 山梨県, 長野県, 岐阜県, 静岡県, 三重県, 滋賀県, 奈良県, 和歌山県, 鳥取県, 島根県, 岡山県, 広島県, 山口県, 徳島県, 香川県, 愛媛県, 高知県, 福岡県, 佐賀県, 長崎県, 熊本県, 大分県, 宮崎県, 鹿児島県, 沖縄県, フルリモート",800万円〜1200万円,"Perl, Ruby, Java, Python, Scala, Go, React, AWS, Kubernetes, GCP, SRE",0,1,0,0,0,800.0,1200.0,1000.0
Webエンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 愛知県",300万円〜600万円,"Java, Python, Node.js, React, TypeScript, AWS, Kotlin, Azure, Spring",0,1,0,0,0,300.0,600.0,450.0
その他エンジニア,東京都,700万円〜900万円,"JavaScript, PHP, Python, CakePHP, CodeIgniter, jQuery, AWS, Docker, MySQL, Laravel, Jenkins",1,1,0,0,0,700.0,900.0,800.0
開発エンジニア,東京都,380万円〜650万円,"Python, AWS, MySQL, Laravel, Vue.js, GCP",1,1,0,0,0,380.0,650.0,515.0
機械学習エンジニア,東京都,400万円〜550万円,Python,0,0,0,0,0,400.0,550.0,475.0
セキュリティエンジニア,フルリモート,700万円〜1300万円,"Python, AWS, Azure, PowerShell, GCP",0,1,0,0,1,700.0,1300.0,1000.0
クラウドエンジニア,東京都,300万円〜500万円,"PHP, Java, Python, AWS",0,1,0,0,0,300.0,500.0,400.0
開発エンジニア,福岡県,540万円〜840万円,"Ruby, Java, Python, Swift, Go, Ruby on Rails, Node.js, React, AWS, MySQL, Vue.js, PostgreSQL, Azure, Oracle, Spring, GCP, Express, Flutter",1,1,0,0,0,540.0,840.0,690.0
開発エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県",400万円〜1100万円,"C#, C, C++, Objective-C, JavaScript, VBA, PHP, Ruby, Java, Python, Swift, Go, Django, Unity, React, TypeScript, AWS, Docker, MySQL, Laravel, Vue.js, PostgreSQL, Kotlin, Apache, Azure, Kubernetes, Oracle, Spring, Rust, GCP, React Native, Xamarin, Cordova, Flutter",1,1,0,1,0,400.0,1100.0,750.0
開発エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 大阪府, 兵庫県, 京都府, 愛知県, 北海道, 青森県, 岩手県, 宮城県, 秋田県, 山形県, 福島県, 茨城県, 栃木県, 群馬県, 新潟県, 富山県, 石川県, 福井県, 山梨県, 長野県, 岐阜県, 静岡県, 三重県, 滋賀県, 奈良県, 和歌山県, 鳥取県, 島根県, 岡山県, 広島県, 山口県, 徳島県, 香川県, 愛媛県, 高知県, 福岡県, 佐賀県, 長崎県, 熊本県, 大分県, 宮崎県, 鹿児島県, 沖縄県, フルリモート",420万円〜840万円,"JavaScript, PHP, Java, Python, Swift, Go, React, TypeScript, iOS, Android, AWS, Docker, Vue.js, PostgreSQL, Kotlin, Spring, Redux, Flutter",1,1,0,0,0,420.0,840.0,630.0
バックエンドエンジニア,"東京都, 大阪府, 愛知県",700万円〜1000万円,"SQL, Ruby, Java, Python, Go, Django, React, AWS, MySQL, GCP, Flask, DDD, SRE",1,1,0,1,0,700.0,1000.0,850.0
Webエンジニア,福岡県,500万円〜700万円,"JavaScript, Ruby, Python, Ruby on Rails, React, AWS, Docker, Vue.js, PostgreSQL, Lambda",1,1,0,0,0,500.0,700.0,600.0
その他エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県, 茨城県, 栃木県, 群馬県, フルリモート",350万円〜1200万円,"C#, C, C++, JavaScript, PHP, Ruby, Java, COBOL, Python, Swift, Go, Dart, Ruby on Rails, React, TypeScript, AWS, MySQL, Laravel, Golang, Kotlin, Azure, Firebase, Salesforce, SAP",1,1,0,0,0,350.0,1200.0,775.0
その他エンジニア,東京都,550万円〜1000万円,"Python, AWS, Azure, PowerShell",0,1,0,0,1,550.0,1000.0,775.0
Webエンジニア,"東京都, フルリモート",600万円〜1000万円,"Python, Go, TypeScript, AWS, PostgreSQL, Rust, GCP, Redis, NodeJS",1,1,0,0,0,600.0,1000.0,800.0
バックエンドエンジニア,"東京都, 神奈川県, 埼玉県",500万円〜700万円,"C#, JavaScript, ASP, ASP.NET, Java, Python, Play Framework, Struts, Django, React, Docker, MySQL, PostgreSQL, Oracle, MongoDB, Spring, Flask, MariaDB",1,0,0,1,0,500.0,700.0,600.0
バックエンドエンジニア,愛知県,350万円〜700万円,"C, PHP, Java, Python, React, AngularJS, MySQL, IoT, Oracle, Angular, Salesforce, VR",1,0,0,0,0,350.0,700.0,525.0
PM,フルリモート,700万円〜1000万円,"JavaScript, Ruby, Ruby on Rails, React, TypeScript, AWS, Python3",0,1,0,0,0,700.0,1000.0,850.0
開発エンジニア,"東京都, 神奈川県, 千葉県, 埼玉県",400万円〜600万円,"C#, C, JavaScript, PHP, Java, Python, AWS, MySQL, Vue.js, PostgreSQL, Lambda, Oracle, Spring, SQLServer",1,1,0,0,0,400.0,600.0,500.0
その他エンジニア,東京都,500万円〜729万円,"Python, Zabbix",0,0,0,0,0,500.0,729.0,614.5
